Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
5/25/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/24/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/23/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/22/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/21/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/20/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/19/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/18/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/17/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/16/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/15/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/14/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/13/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/12/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/11/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/10/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/9/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/8/2020,BN,Brunei Darussalam,WPRO,2,141,0,1
5/7/2020,BN,Brunei Darussalam,WPRO,1,139,0,1
5/6/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
5/5/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
5/4/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
5/3/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
5/2/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
5/1/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/30/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/29/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/28/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/27/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/26/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/25/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/24/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/23/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/22/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/21/2020,BN,Brunei Darussalam,WPRO,0,138,0,1
4/20/2020,BN,Brunei Darussalam,WPRO,1,138,0,1
4/19/2020,BN,Brunei Darussalam,WPRO,1,137,0,1
4/18/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/17/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/16/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/15/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/14/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/13/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/12/2020,BN,Brunei Darussalam,WPRO,0,136,0,1
4/11/2020,BN,Brunei Darussalam,WPRO,1,136,0,1
4/10/2020,BN,Brunei Darussalam,WPRO,0,135,0,1
4/9/2020,BN,Brunei Darussalam,WPRO,0,135,0,1
4/8/2020,BN,Brunei Darussalam,WPRO,0,135,0,1
4/7/2020,BN,Brunei Darussalam,WPRO,0,135,0,1
4/6/2020,BN,Brunei Darussalam,WPRO,0,135,0,1
4/5/2020,BN,Brunei Darussalam,WPRO,1,135,0,1
4/4/2020,BN,Brunei Darussalam,WPRO,1,134,0,1
4/3/2020,BN,Brunei Darussalam,WPRO,2,133,0,1
4/2/2020,BN,Brunei Darussalam,WPRO,2,131,0,1
4/1/2020,BN,Brunei Darussalam,WPRO,2,129,0,1
